session,combo,n_ind,stop,trades,win_rate,pnl,avg_win,avg_loss,max_dd,consec_L,sharpe,exp,score
13:00-17:00,STOCH+MACD+VWAP,3,30,163,19.6,-10702.0,296.0,-154.0,-10844.0,17,-0.63,-65.7,-9999.0
13:00-17:00,STOCH+MACD+VWAP,3,20,165,10.3,-12060.0,196.0,-104.0,-12060.0,30,-1.08,-73.1,-9999.0
13:00-17:00,STOCH+MACD+VOL,3,40,208,20.7,-16632.0,396.0,-204.0,-16632.0,13,-0.56,-80.0,-9999.0
13:00-17:00,BB+RSI+VOL,3,30,235,17.0,-18190.0,296.0,-154.0,-18190.0,21,-0.82,-77.4,-9999.0
13:00-17:00,BB+RSI+VOL,3,20,236,10.6,-17044.0,196.0,-104.0,-17044.0,31,-1.46,-72.2,-9999.0
13:00-17:00,BB+VWAP+VOL,3,40,186,17.7,-18144.0,396.0,-204.0,-18528.0,25,-0.71,-97.5,-9999.0
13:00-17:00,BB+VWAP+VOL,3,30,191,15.2,-16364.0,296.0,-154.0,-16364.0,29,-0.87,-85.7,-9999.0
13:00-17:00,BB+VWAP+VOL,3,20,191,7.9,-15364.0,196.0,-104.0,-15364.0,50,-1.47,-80.4,-9999.0
13:00-17:00,BB+VWAP+RSI,3,40,202,22.3,-14208.0,396.0,-204.0,-14772.0,13,-0.49,-70.3,-9999.0
13:00-17:00,BB+VWAP+RSI,3,30,205,17.6,-15370.0,296.0,-154.0,-15370.0,19,-0.73,-75.0,-9999.0
13:00-17:00,BB+VWAP+RSI,3,20,206,10.2,-15124.0,196.0,-104.0,-15124.0,43,-1.29,-73.4,-9999.0
13:00-17:00,STOCH+RSI+VOL,3,40,230,20.0,-19320.0,396.0,-204.0,-19320.0,14,-0.66,-84.0,-9999.0
13:00-17:00,BB+MACD+VOL,3,30,206,16.5,-16424.0,296.0,-154.0,-16424.0,34,-0.84,-79.7,-9999.0
13:00-17:00,BB+MACD+VOL,3,20,207,7.7,-16728.0,196.0,-104.0,-16728.0,57,-1.4,-80.8,-9999.0
13:00-17:00,BB+MACD+RSI,3,40,205,21.0,-16020.0,396.0,-204.0,-16512.0,16,-0.58,-78.1,-9999.0
13:00-17:00,BB+MACD+RSI,3,30,210,19.5,-13890.0,296.0,-154.0,-13890.0,21,-0.62,-66.1,-9999.0
13:00-17:00,BB+MACD+RSI,3,20,211,10.9,-15044.0,196.0,-104.0,-15044.0,24,-1.25,-71.3,-9999.0
13:00-17:00,BB+MACD+VWAP,3,40,111,20.7,-8844.0,396.0,-204.0,-10188.0,28,-0.44,-79.7,-9999.0
13:00-17:00,BB+MACD+VWAP,3,30,112,21.4,-6448.0,296.0,-154.0,-7442.0,11,-0.44,-57.6,-9999.0
13:00-17:00,BB+MACD+VWAP,3,20,112,8.9,-8648.0,196.0,-104.0,-8648.0,39,-1.12,-77.2,-9999.0
13:00-17:00,BB+MACD+VOL,3,40,198,17.2,-19992.0,396.0,-204.0,-19992.0,29,-0.72,-101.0,-9999.0
13:00-17:00,VWAP+RSI,2,20,180,10.0,-13320.0,196.0,-104.0,-13320.0,38,-1.19,-74.0,-9999.0
13:00-17:00,MACD+VOL,2,40,181,17.7,-17724.0,396.0,-204.0,-17724.0,27,-0.66,-97.9,-9999.0
13:00-17:00,MACD+VOL,2,30,187,17.1,-14398.0,296.0,-154.0,-14682.0,31,-0.71,-77.0,-9999.0
13:00-17:00,MACD+VOL,2,20,189,6.9,-15756.0,196.0,-104.0,-15756.0,52,-1.4,-83.4,-9999.0
